Batch,Category,Text,Video Count,Playlist,Is Ongoing,Latest Link
Dhanyosi,Prakaranam,Tattvabodham,21,PL7qtWZUUoJN-7nBeVc6nb0aN0C3hcpGyN,No,
Dhanyosi,Prakaranam,Vivekachudamani,143,PL7qtWZUUoJN8ErU9e2Sd8ogaQGhUE3n1u,No,
Dhanyosi,Prakaranam,Introduction To Vedanta,14,PL7qtWZUUoJN_cU9qlIy0IpMTxCTAqe3F-,No,
Dhanyosi,Upanishad,Taittiriya Upanishad,52,PL7qtWZUUoJN-nT5Ax6xNof4KVLRJGNYuq,No,
Dhanyosi,Prakaranam,SVSSS,34,PL7qtWZUUoJN_KekSBZ8fF35DhX0fOQCgZ,No,
Dhanyosi,Prakaranam,Aparoksha Anubhuti,35,PL7qtWZUUoJN-gIA65OYeEmiuvNRB_YrWJ,No,
Dhanyosi,Upanishad,Kenopanishad,12,PL7qtWZUUoJN8zVzRvHRkwWYyYf2J7Pwwa,No,
Dhanyosi,Prakaranam,Jiva Yatra,12,PL7qtWZUUoJN_RTwbnkAOAYXQoOGxjCJt9,No,
Dhanyosi,Upanishad,Kathopanishad,44,PL7qtWZUUoJN910IVaIX74K3BFaPJA0YDO,No,
Dhanyosi,Upanishad,Prashnopanishad,20,PL7qtWZUUoJN-KjPtp6dkKGsQ-DIsZSk-Z,No,
Dhanyosi,Prakaranam,Bhaja Govindam,10,PL7qtWZUUoJN_-M5DV_UuTKdByTMcvD_ed,No,
Dhanyosi,Prakaranam,Dashashloki,4,PL7qtWZUUoJN-UEFvGfM_0OO5tspf7BnPp,No,
Dhanyosi,Prakaranam,Manisha Panchakam,10,PL7qtWZUUoJN8xpX2u4P18MA9WUsxj3uo5,No,
Dhanyosi,Upanishad,Mundaka Upanishad,37,PL7qtWZUUoJN-sJxtZcojI6E5HhX4WKj1M,No,
Dhanyosi,Bhagawad Gita,Bhagavad Gita,199,PL7qtWZUUoJN_6oslVhuNEJp9ZFHyzPwVO,No,
Dhanyosi,Prakaranam,Panchadasi,61,PL7qtWZUUoJN_NPfp87VSR_8bkWcuQ1SSQ,Yes,N4G52zDsFXc
Dhanyosi,Upanishad,Mandukya Upanishad,21,PL7qtWZUUoJN_zMEvDbzZ2R03XrkTp-r_c,No,
Dhanyosi,Upanishad,Mandukya Upanishad - Vaithatya Prakaranam,10,PL7qtWZUUoJN-sw3YM0_x1WPqxxVqbJ_8_,No,
Dhanyosi,Upanishad,Mandukya Upanishad - Advaita Prakaranam,18,PL7qtWZUUoJN_D_c4lAN_I5tdKfW6cqWCa,No,
Dhanyosi,Prakaranam,DDV,22,PL7qtWZUUoJN84coOtNfbVIel5_ZJsWM7D,No,
